# string_id file_name                     x  y  w  h  layer  xoff yoff
# Cell types (terrain)
0 assets/images/wall.png                  0  0  0  0   0      0    0
1 assets/images/corridor.png              0  0  0  0   0      0    0

# Tokens
marine    assets/images/marine_bolter.png 0  0  0  0  20      0    0
marine_flame assets/images/marine_flamer.png 0  0  0  0  20   0    0
marine_sarge assets/images/marine_sarge.png  0  0  0  0  20   0    0
alien     assets/images/alien.png         0  0  0  0  20      0    0
blip      assets/images/blip.png          0  0  0  0  15      0    0
blip_2    assets/images/blip.png          0  0  0  0  15      0    0
blip_3    assets/images/blip.png          0  0  0  0  15      0    0
door      assets/images/door.png          0  0  0  0  30      0    0
dooropen  assets/images/dooropen.png      0  0  0  0  30      0    0
objective assets/images/objective.png     0  0  0  0  10      0    0
drop_marine assets/images/drop.png        0  0  0  0  10      0    0
start_marine assets/images/start.png      0  0  0  0  10      0    0
lurk      assets/images/lurk.png          0  0  0  0  10      0    0
alien_entry assets/images/entry.png       0  0  0  0  10      0    0
flame assets/images/flame.png             0  0  0  0  25      0    9	
deactivated assets/images/deactivated.png 0  0  0  0  35     -32  32	
guard assets/images/guard.png             0  0  0  0  35     -16  32	
jam assets/images/jam.png                 0  0  0  0  35      0   32	
overwatch assets/images/overwatch.png     0  0  0  0  35      0   32	
